image,x,y
002_0.jpg,1039.9292,1029.3943
002_0.jpg,988.8806,1033.7375
002_0.jpg,938.97754,1037.9539
002_0.jpg,890.11304,1042.1108
002_0.jpg,1620.0884,896.0724
002_0.jpg,1555.5836,902.5562
002_0.jpg,1492.5896,908.8535
002_0.jpg,1431.1064,915.1138
002_0.jpg,1371.0442,921.10815
002_0.jpg,1312.4225,927.0655
002_0.jpg,1255.2218,932.94727
002_0.jpg,1199.1904,938.48535
002_0.jpg,1144.657,944.0899
002_0.jpg,1091.2751,949.4362
002_0.jpg,1039.1057,954.6985
002_0.jpg,988.0698,959.9414
002_0.jpg,938.3136,964.93427
002_0.jpg,889.6571,969.9145
002_0.jpg,1618.4647,812.0702
002_0.jpg,1554.1846,819.99426
002_0.jpg,1491.0253,826.93005
002_0.jpg,1429.6508,834.16565
002_0.jpg,1369.7981,841.1304
002_0.jpg,1311.144,848.0353
002_0.jpg,1254.1217,854.8056
002_0.jpg,1198.1554,861.29974
002_0.jpg,1143.6031,867.77545
002_0.jpg,1090.2521,873.97314
002_0.jpg,1038.2384,880.09406
002_0.jpg,987.31244,886.189
002_0.jpg,937.6169,892.03577
002_0.jpg,889.1352,897.7888
002_0.jpg,1616.5646,728.3555
002_0.jpg,1552.5409,736.96875
002_0.jpg,1489.4194,745.27637
002_0.jpg,1428.2543,753.50183
002_0.jpg,1368.4199,761.4274
002_0.jpg,1309.994,769.2322
002_0.jpg,1253.0536,776.9044
002_0.jpg,1197.1859,784.3006
002_0.jpg,1142.6989,791.6081
002_0.jpg,1089.546,798.77344
002_0.jpg,1037.2582,805.67865
002_0.jpg,986.55865,812.5495
002_0.jpg,936.90515,819.22375
002_0.jpg,888.5195,825.8111
003_0.jpg,733.4436,780.3141
003_0.jpg,812.0098,780.3561
003_0.jpg,889.6756,780.3825
003_0.jpg,966.32806,780.4162
003_0.jpg,1041.9465,780.5656
003_0.jpg,1116.7985,780.6775
003_0.jpg,1190.6658,780.8072
003_0.jpg,1263.6475,780.98334
003_0.jpg,1335.8109,781.10895
003_0.jpg,1407.0731,781.2361
003_0.jpg,1477.418,781.4787
003_0.jpg,1546.9598,781.6154
003_0.jpg,1615.3506,781.8438
003_0.jpg,1683.2537,781.9785
003_0.jpg,736.0816,861.34
003_0.jpg,814.73615,860.86456
003_0.jpg,892.42267,860.45355
003_0.jpg,969.13275,859.97107
003_0.jpg,1044.9388,859.5844
003_0.jpg,1119.814,859.2495
003_0.jpg,1193.785,858.8738
003_0.jpg,1266.7535,858.5734
003_0.jpg,1339.0258,858.2038
003_0.jpg,1410.233,857.8609
003_0.jpg,1480.7062,857.62805
003_0.jpg,1550.2766,857.3192
003_0.jpg,1619.0153,857.204
